"Index","Open","High","Low","Close","Volume"
2052-02-21,4.6056,4.6188,4.6002,4.6146,19032
2052-02-22,4.6134,4.6422,4.6098,4.6374,37872
2052-02-23,4.635,4.6488,4.6308,4.6392,25908
2052-02-24,4.6434,4.6536,4.6434,4.6506,20460
2052-02-25,4.656,4.662,4.6524,4.6542,17430
2052-02-26,4.6428,4.6464,4.6368,4.6458,21090
2052-02-27,4.6572,4.6644,4.65,4.6554,17880
2052-02-28,4.638,4.6512,4.632,4.6476,19320
2052-02-29,4.6302,4.644,4.6242,4.638,19242
2052-03-01,4.644,4.6602,4.6428,4.6512,18420
2052-03-02,4.6476,4.6578,4.6458,4.6488,10674
2052-03-03,4.6518,4.6578,4.65,4.6548,9030
2052-03-04,4.6572,4.674,4.6572,4.6662,26274
2052-03-05,4.671,4.68,4.6644,4.6776,16710
2052-03-06,4.6752,4.6812,4.6698,4.6758,14148
2052-03-07,4.6788,4.6872,4.6764,4.6854,14244
2052-03-08,4.6806,4.6818,4.6704,4.6752,14976
2052-03-09,4.6806,4.6878,4.677,4.6848,9198
2052-03-10,4.686,4.692,4.686,4.6884,7566
2052-03-11,4.692,4.6968,4.689,4.695,8898
2052-03-12,4.6962,4.7016,4.6836,4.6992,20406
2052-03-13,4.695,4.7004,4.6902,4.695,15390
2052-03-14,4.6884,4.7028,4.686,4.701,18192
2052-03-15,4.7076,4.7208,4.7076,4.7196,20928
2052-03-16,4.713,4.731,4.713,4.7226,20772
2052-03-17,4.7334,4.7388,4.7292,4.7328,18024
2052-03-18,4.7274,4.734,4.7262,4.7274,12678
2052-03-19,4.7226,4.725,4.7088,4.7184,25266
2052-03-20,4.7334,4.7436,4.728,4.74,18342
2052-03-21,4.7352,4.7484,4.7352,4.7376,18432
2052-03-22,4.7148,4.728,4.71,4.725,20694
2052-03-23,4.7214,4.7364,4.7214,4.7328,16008
2052-03-24,4.725,4.7274,4.7172,4.7238,18036
2052-03-25,4.7118,4.7244,4.7058,4.7064,43008
2052-03-26,4.7076,4.7106,4.6998,4.7064,23862
2052-03-27,4.716,4.7304,4.7076,4.7298,28428
2052-03-28,4.731,4.7436,4.7304,4.7382,25482
2052-03-29,4.7334,4.746,4.731,4.743,16842
2052-03-30,4.7508,4.755,4.7382,4.7424,19212
2052-03-31,4.7418,4.767,4.74,4.7634,26418
2052-04-01,4.7646,4.7748,4.764,4.7664,21342
2052-04-02,4.7754,4.7766,4.7682,4.77,18828
2052-04-03,4.7808,4.7862,4.7772,4.7826,22068
2052-04-04,4.7826,4.7838,4.7688,4.7814,30984
2052-04-05,4.7808,4.7868,4.7724,4.7868,21078
2052-04-06,4.785,4.791,4.779,4.7832,16662
2052-04-07,4.782,4.7862,4.7814,4.7844,34098
2052-04-08,4.7664,4.776,4.7628,4.7724,12390
2052-04-09,4.7736,4.782,4.7688,4.7718,6786
2052-04-10,4.7742,4.776,4.764,4.7712,6228
2052-04-11,4.7562,4.77,4.7532,4.7646,21060
2052-04-12,4.776,4.7802,4.77,4.7796,22230
2052-04-13,4.7808,4.788,4.7802,4.7856,23442
2052-04-14,4.7856,4.7862,4.7814,4.7838,9018
2052-04-15,4.7868,4.7904,4.7754,4.7838,22962
2052-04-16,4.788,4.7964,4.788,4.7958,17844
2052-04-17,4.7988,4.8096,4.7982,4.8072,20064
2052-04-18,4.8072,4.815,4.7976,4.8126,28044
2052-04-19,4.8108,4.8132,4.8042,4.812,15558
2052-04-20,4.815,4.8354,4.815,4.8324,26622
2052-04-21,4.8372,4.8396,4.8312,4.8378,13932
2052-04-22,4.8372,4.839,4.8282,4.8378,14052
2052-04-23,4.8438,4.8492,4.8378,4.839,11424
2052-04-24,4.8444,4.845,4.83,4.8354,18912
2052-04-25,4.812,4.8294,4.8102,4.8204,30804
2052-04-26,4.8252,4.8258,4.815,4.8198,21090
